@relation 'tesco-21200475-weka.filters.unsupervised.attribute.Remove-R1-13,15-48,66-77'

@attribute carb numeric
@attribute f_beer numeric
@attribute f_dairy numeric
@attribute f_eggs numeric
@attribute f_fats_oils numeric
@attribute f_fish numeric
@attribute f_fruit_veg numeric
@attribute f_grains numeric
@attribute f_meat_red numeric
@attribute f_poultry numeric
@attribute f_readymade numeric
@attribute f_sauces numeric
@attribute f_soft_drinks numeric
@attribute f_spirits numeric
@attribute f_sweets numeric
@attribute f_tea_coffee numeric
@attribute f_water numeric
@attribute f_wine numeric

@data
16.785916,0.018636,0.114303,0.008748,0.022527,0.019789,0.281203,0.143976,0.043281,0.016971,0.066397,0.012303,0.030266,0.002911,0.154578,0.005128,0.027392,0.031591
14.835418,0.010022,0.13345,0.014246,0.026202,0.027108,0.381579,0.111604,0.037076,0.019667,0.041104,0.010587,0.01578,0.001554,0.129134,0.004764,0.020331,0.015793
16.963005,0.013871,0.109797,0.012499,0.032324,0.02497,0.29617,0.14051,0.053728,0.02361,0.049792,0.015726,0.023863,0.002559,0.143849,0.005649,0.02878,0.022304
18.276325,0.011128,0.109847,0.009869,0.030297,0.020454,0.280698,0.148202,0.055248,0.019204,0.064838,0.015519,0.023241,0.002727,0.160793,0.007584,0.024644,0.015706
16.989337,0.019485,0.101687,0.012027,0.028367,0.022032,0.286449,0.143025,0.048359,0.02024,0.06226,0.014588,0.027113,0.004897,0.149409,0.004937,0.022351,0.032774
19.682979,0.014408,0.106984,0.00998,0.027675,0.017149,0.249125,0.167653,0.040615,0.014908,0.064433,0.012557,0.037874,0.006099,0.18381,0.006232,0.031221,0.009277
18.457302,0.008858,0.111242,0.011059,0.028172,0.023922,0.284045,0.144641,0.050019,0.022177,0.054968,0.012376,0.023142,0.002217,0.166693,0.006077,0.037079,0.013314
17.106481,0.013401,0.118958,0.012305,0.02854,0.020028,0.282869,0.144686,0.042838,0.019309,0.053764,0.0125,0.032294,0.004066,0.151863,0.005733,0.03555,0.021295
20.732937,0.010575,0.078827,0.005402,0.018264,0.017747,0.236899,0.180584,0.046944,0.021368,0.099339,0.014116,0.035932,0.002059,0.191984,0.006307,0.021806,0.011848
20.028535,0.013543,0.093304,0.008277,0.019299,0.016454,0.262834,0.173256,0.037828,0.018462,0.087571,0.011713,0.027788,0.002833,0.176814,0.00724,0.028703,0.014078
18.511874,0.010721,0.100043,0.011566,0.033696,0.02294,0.266415,0.144926,0.067916,0.025593,0.060686,0.020726,0.027019,0.003293,0.154596,0.005896,0.028337,0.015632
18.842599,0.01245,0.103977,0.0127,0.032146,0.028107,0.283645,0.14238,0.045788,0.01632,0.050503,0.014814,0.02607,0.002682,0.180006,0.005518,0.031274,0.011619
18.478033,0.017106,0.103864,0.008878,0.02398,0.015199,0.237404,0.164669,0.045436,0.016254,0.069148,0.012505,0.056772,0.00594,0.16957,0.006046,0.032119,0.01511
18.311554,0.013369,0.096151,0.010711,0.032526,0.022731,0.279165,0.14947,0.053648,0.021995,0.052434,0.019357,0.035201,0.004325,0.14974,0.00686,0.037871,0.014448
16.123012,0.015295,0.100338,0.011963,0.037869,0.027319,0.328501,0.124321,0.058705,0.019546,0.050837,0.017359,0.017186,0.003203,0.127528,0.004782,0.023528,0.03172
14.615539,0.013699,0.129767,0.010604,0.026632,0.025351,0.376811,0.107471,0.034804,0.01576,0.046412,0.010756,0.01752,0.001684,0.12615,0.004552,0.02153,0.030498
17.289971,0.018137,0.103165,0.010427,0.028128,0.01883,0.300823,0.14299,0.052482,0.021529,0.05787,0.015814,0.022784,0.002917,0.149588,0.00566,0.027217,0.021638
18.11113,0.010495,0.100881,0.008247,0.027049,0.021266,0.282164,0.137914,0.052014,0.022001,0.078072,0.018292,0.027836,0.002371,0.167283,0.004415,0.019743,0.019957
16.34125,0.017916,0.111894,0.011592,0.023178,0.022349,0.298739,0.13898,0.044989,0.019647,0.062546,0.01259,0.030128,0.003633,0.148882,0.005412,0.028435,0.01909
18.165694,0.011265,0.130415,0.012297,0.031632,0.013978,0.279706,0.149795,0.040117,0.019341,0.050766,0.013315,0.029128,0.002615,0.165698,0.005028,0.029866,0.015039
17.804125,0.011772,0.10549,0.019611,0.028287,0.025476,0.288596,0.15089,0.042316,0.020805,0.055147,0.013983,0.027492,0.002423,0.153407,0.005269,0.032097,0.016938
15.668116,0.018124,0.120601,0.010642,0.026759,0.023746,0.342677,0.121073,0.044856,0.019462,0.057094,0.01214,0.01432,0.001821,0.137577,0.005535,0.016952,0.026622
19.180893,0.012013,0.124349,0.012084,0.032774,0.015501,0.276239,0.169742,0.037153,0.021311,0.040716,0.011199,0.033559,0.004856,0.156009,0.005341,0.039187,0.007967
18.390479,0.01165,0.123578,0.013595,0.031092,0.015598,0.280712,0.155344,0.04027,0.021408,0.044319,0.011473,0.032112,0.003719,0.162069,0.005583,0.036655,0.010822
20.121087,0.010564,0.101927,0.007774,0.017643,0.013789,0.263428,0.181347,0.036393,0.014288,0.089735,0.010151,0.024798,0.001922,0.183964,0.005429,0.023343,0.013506
18.448633,0.012037,0.103753,0.011356,0.033802,0.019507,0.269334,0.151659,0.05156,0.021706,0.055323,0.01482,0.033508,0.004633,0.160823,0.006739,0.036553,0.012887
21.097785,0.010257,0.09893,0.013175,0.032487,0.021911,0.24973,0.169667,0.054376,0.021115,0.051876,0.014507,0.034609,0.003829,0.169504,0.00645,0.039033,0.008542
19.392183,0.014941,0.095756,0.009426,0.02453,0.016272,0.240014,0.171749,0.042486,0.019966,0.089766,0.011423,0.03636,0.00307,0.179599,0.005691,0.029637,0.009317
18.311675,0.015328,0.105419,0.011038,0.03032,0.021102,0.267803,0.153916,0.049389,0.020177,0.056597,0.013265,0.033347,0.003305,0.163144,0.005589,0.033961,0.0163
20.953518,0.010482,0.085168,0.00944,0.021579,0.015603,0.242608,0.182047,0.040344,0.016912,0.086548,0.011302,0.036889,0.00252,0.18878,0.006626,0.034475,0.008674
18.030466,0.011968,0.091111,0.007529,0.0202,0.017194,0.278193,0.14671,0.03155,0.01475,0.071473,0.011856,0.047339,0.003062,0.197309,0.006546,0.032365,0.010845
18.499136,0.018612,0.101842,0.010891,0.028681,0.016948,0.254393,0.153107,0.057673,0.021621,0.060146,0.01667,0.037296,0.003281,0.165584,0.005686,0.030409,0.01716
17.067062,0.013177,0.111394,0.013603,0.03513,0.024145,0.302205,0.138304,0.050759,0.019117,0.045152,0.014523,0.027212,0.002656,0.148438,0.00571,0.031214,0.01726
15.706587,0.016754,0.118949,0.012887,0.021493,0.021891,0.309966,0.127133,0.0444,0.022859,0.058317,0.012193,0.0306,0.001987,0.149493,0.00446,0.027829,0.018788
20.066995,0.010948,0.11052,0.012842,0.035168,0.017075,0.23131,0.16371,0.03475,0.016344,0.057026,0.011018,0.044708,0.006372,0.192342,0.00625,0.04164,0.007977
17.007957,0.017557,0.104972,0.012326,0.024797,0.022086,0.286754,0.142881,0.048879,0.022788,0.058136,0.015508,0.032523,0.003047,0.154464,0.004909,0.029737,0.018636
17.92479,0.012466,0.106738,0.011347,0.032847,0.023212,0.27688,0.137746,0.059647,0.023167,0.061254,0.018837,0.023728,0.002795,0.15773,0.006096,0.023096,0.022415
18.824024,0.012223,0.105178,0.013412,0.033225,0.020292,0.257683,0.155389,0.062605,0.024996,0.062342,0.016379,0.031339,0.00357,0.149822,0.006037,0.034948,0.010559
20.65841,0.011262,0.086413,0.007293,0.025001,0.01442,0.221091,0.169737,0.047167,0.019933,0.088524,0.014463,0.035826,0.003411,0.201464,0.008383,0.031142,0.014472
18.226,0.013653,0.104991,0.009912,0.021884,0.019582,0.291983,0.157104,0.041201,0.017379,0.072483,0.010382,0.027147,0.003309,0.169568,0.005225,0.022104,0.012093
17.566269,0.015756,0.105669,0.011809,0.028366,0.022339,0.28255,0.146194,0.050636,0.020212,0.064834,0.015631,0.030099,0.002757,0.14926,0.005107,0.028114,0.020667
18.316292,0.011814,0.115895,0.014286,0.036294,0.022421,0.262558,0.14604,0.046777,0.01556,0.049401,0.013274,0.036195,0.003868,0.167356,0.004806,0.039972,0.013483
18.701883,0.011355,0.098843,0.010035,0.031427,0.021686,0.252249,0.149509,0.052529,0.025209,0.057567,0.018021,0.042429,0.004513,0.166602,0.006728,0.038983,0.012315
19.00915,0.014139,0.095248,0.009991,0.027038,0.019045,0.252496,0.153348,0.053519,0.022022,0.072771,0.014312,0.0429,0.003128,0.168011,0.007015,0.032909,0.012107
14.951346,0.019555,0.144302,0.01194,0.02404,0.020836,0.337584,0.10603,0.04224,0.011287,0.066157,0.00706,0.016425,0.002723,0.132276,0.005114,0.017645,0.034785
17.419195,0.01422,0.104879,0.013281,0.031665,0.026122,0.2882,0.144796,0.053234,0.022689,0.048892,0.015613,0.031638,0.003868,0.144582,0.006835,0.033834,0.015654
15.462895,0.013005,0.113218,0.016096,0.03328,0.032649,0.3333,0.121953,0.054819,0.021468,0.050086,0.013711,0.018586,0.00336,0.120512,0.00587,0.025468,0.022618
19.188069,0.020408,0.098183,0.010495,0.028398,0.019616,0.233209,0.156284,0.048643,0.018404,0.071194,0.01159,0.043902,0.005987,0.181479,0.006849,0.035888,0.00947
16.658608,0.013567,0.107581,0.013988,0.032812,0.027616,0.318385,0.131274,0.054513,0.01982,0.051137,0.015633,0.021746,0.002697,0.138099,0.005005,0.026369,0.019759
17.042346,0.01667,0.101531,0.012888,0.032074,0.023181,0.287142,0.145865,0.046666,0.021369,0.053142,0.013808,0.038924,0.003953,0.141788,0.007034,0.036174,0.01779
19.304378,0.009025,0.109951,0.014332,0.034111,0.022722,0.261739,0.154146,0.055124,0.024107,0.050284,0.015116,0.029047,0.003387,0.165217,0.006012,0.036658,0.009022
20.337159,0.012689,0.098467,0.010841,0.031927,0.02017,0.242797,0.160938,0.038797,0.013938,0.057555,0.013574,0.035746,0.002594,0.202137,0.006401,0.039539,0.01189
20.184752,0.011673,0.125573,0.016243,0.039801,0.018557,0.235215,0.163213,0.035096,0.013342,0.043804,0.012119,0.034592,0.002647,0.190677,0.005661,0.044251,0.007536
19.44321,0.009624,0.092678,0.010593,0.033789,0.023232,0.246933,0.15466,0.058107,0.022804,0.049762,0.018493,0.040396,0.005209,0.172348,0.007144,0.044132,0.010093
18.918806,0.016169,0.102969,0.006146,0.014876,0.017083,0.24833,0.166005,0.037916,0.015255,0.093923,0.008573,0.039807,0.007249,0.175712,0.006524,0.027704,0.015759
18.814664,0.005085,0.096342,0.004411,0.041202,0.037158,0.325175,0.144039,0.029408,0.009925,0.075512,0.011426,0.019728,0.001103,0.163828,0.004411,0.021229,0.010017
16.010751,0.012072,0.113559,0.013321,0.02833,0.027761,0.321456,0.126821,0.046831,0.020522,0.054686,0.01182,0.022438,0.002844,0.139455,0.00565,0.029032,0.023403
19.563982,0.011067,0.094716,0.010016,0.031991,0.01809,0.247091,0.15858,0.057695,0.021463,0.066741,0.015229,0.038159,0.00503,0.174335,0.006381,0.035152,0.008264
18.569786,0.01254,0.104132,0.010896,0.028002,0.018521,0.277941,0.158269,0.042435,0.017935,0.061362,0.012081,0.031539,0.003534,0.170595,0.006633,0.031632,0.011954
19.58434,0.035398,0.081787,0.007156,0.018466,0.017444,0.218971,0.176256,0.030095,0.016996,0.099677,0.00738,0.045046,0.005367,0.192422,0.00476,0.030957,0.011821
